Season,Slot,NextSlot,NextSeed,StrongSeed,WeakSeed,StrongTeamID,WeakTeamID,StrongTeamName,WeakTeamName
2018,R1W1,R2W1,Strong,W01,W16,1437,1347,Villanova,Radford
2018,R1W2,R2W2,Strong,W02,W15,1345,1168,Purdue,CS Fullerton
2018,R1W3,R2W3,Strong,W03,W14,1403,1372,Texas Tech,SF Austin
2018,R1W4,R2W4,Strong,W04,W13,1455,1267,Wichita St,Marshall
2018,R1W5,R2W4,Weak,W05,W12,1452,1293,West Virginia,Murray St
2018,R1W6,R2W3,Weak,W06,W11,1196,1382,Florida,St Bonaventure
2018,R1W7,R2W2,Weak,W07,W10,1116,1139,Arkansas,Butler
2018,R1W8,R2W1,Weak,W08,W09,1439,1104,Virginia Tech,Alabama
2018,R1X1,R2X1,Strong,X01,X16,1242,1335,Kansas,Penn
2018,R1X2,R2X2,Strong,X02,X15,1181,1233,Duke,Iona
2018,R1X3,R2X3,Strong,X03,X14,1277,1137,Michigan St,Bucknell
2018,R1X4,R2X4,Strong,X04,X13,1120,1158,Auburn,Col Charleston
2018,R1X5,R2X4,Weak,X05,X12,1155,1308,Clemson,New Mexico St
2018,R1X6,R2X3,Weak,X06,X11,1395,1393,TCU,Syracuse
2018,R1X7,R2X2,Weak,X07,X10,1348,1328,Rhode Island,Oklahoma
2018,R1X8,R2X1,Weak,X08,X09,1371,1301,Seton Hall,NC State
2018,R1Y1,R2Y1,Strong,Y01,Y16,1438,1420,Virginia,UMBC
2018,R1Y2,R2Y2,Strong,Y02,Y15,1153,1209,Cincinnati,Georgia St
2018,R1Y3,R2Y3,Strong,Y03,Y14,1397,1460,Tennessee,Wright St
2018,R1Y4,R2Y4,Strong,Y04,Y13,1112,1138,Arizona,Buffalo
2018,R1Y5,R2Y4,Weak,Y05,Y12,1246,1172,Kentucky,Davidson
2018,R1Y6,R2Y3,Weak,Y06,Y11,1274,1260,Miami FL,Loyola-Chicago
2018,R1Y7,R2Y2,Weak,Y07,Y10,1305,1400,Nevada,Texas
2018,R1Y8,R2Y1,Weak,Y08,Y09,1166,1243,Creighton,Kansas St
2018,R1Z1,R2Z1,Strong,Z01,Z16,1462,1411,Xavier,TX Southern
2018,R1Z2,R2Z2,Strong,Z02,Z15,1314,1252,North Carolina,Lipscomb
2018,R1Z3,R2Z3,Strong,Z03,Z14,1276,1285,Michigan,Montana
2018,R1Z4,R2Z4,Strong,Z04,Z13,1211,1422,Gonzaga,UNC Greensboro
2018,R1Z5,R2Z4,Weak,Z05,Z12,1326,1355,Ohio St,S Dakota St
2018,R1Z6,R2Z3,Weak,Z06,Z11,1222,1361,Houston,San Diego St
2018,R1Z7,R2Z2,Weak,Z07,Z10,1401,1344,Texas A&M,Providence
2018,R1Z8,R2Z1,Weak,Z08,Z09,1281,1199,Missouri,Florida St
2018,R2W1,R3W1,Strong,R1W1,R1W8,1437,1439,Villanova,Virginia Tech
2018,R2W2,R3W2,Strong,R1W2,R1W7,1345,1116,Purdue,Arkansas
2018,R2W3,R3W2,Weak,R1W3,R1W6,1403,1196,Texas Tech,Florida
2018,R2W4,R3W1,Weak,R1W4,R1W5,1455,1452,Wichita St,West Virginia
2018,R2X1,R3X1,Strong,R1X1,R1X8,1242,1371,Kansas,Seton Hall
2018,R2X2,R3X2,Strong,R1X2,R1X7,1181,1328,Duke,Oklahoma
2018,R2X3,R3X2,Weak,R1X3,R1X6,1277,1395,Michigan St,TCU
2018,R2X4,R3X1,Weak,R1X4,R1X5,1120,1155,Auburn,Clemson
2018,R2Y1,R3Y1,Strong,R1Y1,R1Y8,1438,1243,Virginia,Kansas St
2018,R2Y2,R3Y2,Strong,R1Y2,R1Y7,1153,1400,Cincinnati,Texas
2018,R2Y3,R3Y2,Weak,R1Y3,R1Y6,1397,1274,Tennessee,Miami FL
2018,R2Y4,R3Y1,Weak,R1Y4,R1Y5,1112,1246,Arizona,Kentucky
2018,R2Z1,R3Z1,Strong,R1Z1,R1Z8,1462,1199,Xavier,Florida St
2018,R2Z2,R3Z2,Strong,R1Z2,R1Z7,1314,1344,North Carolina,Providence
2018,R2Z3,R3Z2,Weak,R1Z3,R1Z6,1276,1361,Michigan,San Diego St
2018,R2Z4,R3Z1,Weak,R1Z4,R1Z5,1211,1326,Gonzaga,Ohio St
2018,R3W1,R4W1,Strong,R2W1,R2W4,1437,1452,Villanova,West Virginia
2018,R3W2,R4W1,Weak,R2W2,R2W3,1345,1196,Purdue,Florida
2018,R3X1,R4X1,Strong,R2X1,R2X4,1242,1120,Kansas,Auburn
2018,R3X2,R4X1,Weak,R2X2,R2X3,1181,1277,Duke,Michigan St
2018,R3Y1,R4Y1,Strong,R2Y1,R2Y4,1438,1112,Virginia,Arizona
2018,R3Y2,R4Y1,Weak,R2Y2,R2Y3,1153,1397,Cincinnati,Tennessee
2018,R3Z1,R4Z1,Strong,R2Z1,R2Z4,1462,1211,Xavier,Gonzaga
2018,R3Z2,R4Z1,Weak,R2Z2,R2Z3,1314,1276,North Carolina,Michigan
2018,R4W1,R5WX,Strong,R3W1,R3W2,1437,1345,Villanova,Purdue
2018,R4X1,R5WX,Weak,R3X1,R3X2,1242,1181,Kansas,Duke
2018,R4Y1,R5YZ,Strong,R3Y1,R3Y2,1438,1153,Virginia,Cincinnati
2018,R4Z1,R5YZ,Weak,R3Z1,R3Z2,1211,1276,Gonzaga,Michigan
2018,R5WX,R6CH,Strong,R4W1,R4X1,1437,1242,Villanova,Kansas
2018,R5YZ,R6CH,Weak,R4Y1,R4Z1,1438,1276,Virginia,Michigan
2018,R6CH,R7WIN,Strong,R5WX,R5YZ,1437,1438,Villanova,Virginia
2018,R7WIN,R6CH,,,,1437,,Villanova,
